file,decision,destination,rationale
orchestration/agent-bus.ts,MOVE,packages/runtime/src/agent-bus.ts,Agent event bus — core runtime primitive
orchestration/agent-registry.ts,MOVE,packages/runtime/src/agent-registry.ts,Registry of adapters — needed by runtime
orchestration/approval-workflow.ts,MOVE,packages/governance/src/approval-workflow.ts,HITL gate belongs in governance
orchestration/browser-adapter.ts,MOVE,packages/runtime/src/browser-adapter.ts,Browser execution adapter
orchestration/capability-policy.ts,MOVE,packages/governance/src/capability-policy.ts,Policy — governance layer
orchestration/circuit-breaker.ts,MOVE,packages/runtime/src/circuit-breaker.ts,Resilience primitive — runtime
orchestration/code-agent-pool.ts,MOVE,packages/runtime/src/code-agent-pool.ts,Code execution adapter
orchestration/dependency-resolver.ts,MOVE,packages/runtime/src/dependency-resolver.ts,Task DAG resolver
orchestration/diagnostic-api.ts,MOVE,packages/runtime/src/diagnostic-api.ts,Runtime diagnostics
orchestration/environment-telemetry.ts,MOVE,packages/telemetry/src/environment-telemetry.ts,Telemetry — own package
orchestration/event-bus.ts,MOVE,packages/runtime/src/event-bus.ts,IEventBus wins per ADR-0007
orchestration/federation-health-controller.ts,MOVE,packages/runtime/src/federation-health-controller.ts,Federation topology management
orchestration/file-queue-backend.ts,MOVE,packages/runtime/src/file-queue-backend.ts,Offline dev queue backend
orchestration/filesystem-sandbox.ts,MOVE,packages/runtime/src/filesystem-sandbox.ts,Sandbox execution primitive
orchestration/floci-adapter.ts,DELETE,–,ADR-0001: kill Floci
orchestration/floci-client.ts,DELETE,–,ADR-0001: kill Floci
orchestration/floci-extended.ts,DELETE,–,ADR-0001: kill Floci
orchestration/floci-lambda.ts,DELETE,–,ADR-0001: kill Floci
orchestration/floci-zip.ts,DELETE,–,ADR-0001: kill Floci
orchestration/ghoststack-mcp-bridge.ts,MOVE,packages/runtime/src/mcp-bridge.ts,MCP server bridge
orchestration/governance-engine.ts,MOVE,packages/governance/src/governance-engine.ts,Core governance logic
orchestration/interfaces/discovery.interface.ts,MOVE,packages/runtime/src/interfaces/discovery.interface.ts,Contract layer
orchestration/interfaces/environment.interface.ts,MOVE,packages/runtime/src/interfaces/environment.interface.ts,Contract layer
orchestration/interfaces/event-store.interface.ts,MOVE,packages/runtime/src/interfaces/event-store.interface.ts,Contract layer
orchestration/interfaces/execution.interface.ts,MOVE,packages/runtime/src/interfaces/execution.interface.ts,IExecutionAdapter — plugin SDK contract
orchestration/interfaces/governance.interface.ts,MOVE,packages/governance/src/interfaces/governance.interface.ts,Governance contracts
orchestration/interfaces/language-model.interface.ts,MOVE,packages/runtime/src/interfaces/language-model.interface.ts,ILanguageModel — used by planner
orchestration/interfaces/logger.interface.ts,MOVE,packages/telemetry/src/interfaces/logger.interface.ts,Logging contract
orchestration/interfaces/mcp.interface.ts,MOVE,packages/runtime/src/interfaces/mcp.interface.ts,MCP contracts
orchestration/interfaces/observability.interface.ts,MOVE,packages/telemetry/src/interfaces/observability.interface.ts,Observability contracts
orchestration/interfaces/persistence.interface.ts,MOVE,packages/runtime/src/interfaces/persistence.interface.ts,Persistence contracts
orchestration/interfaces/queue.interface.ts,MOVE,packages/runtime/src/interfaces/queue.interface.ts,IQueueBackend — swappable
orchestration/interfaces/workflow.interface.ts,MOVE,packages/runtime/src/interfaces/workflow.interface.ts,Workflow DSL contracts
orchestration/language-model.ts,MOVE,packages/runtime/src/language-model.ts,Groq/Free LLM providers
orchestration/local-inference-adapter.ts,MOVE,packages/runtime/src/local-inference-adapter.ts,Local LLM adapter
orchestration/logger.ts,MOVE,packages/telemetry/src/logger.ts,Logger implementation
orchestration/mcp-adapter.ts,MOVE,packages/runtime/src/mcp-adapter.ts,MCP tool executor
orchestration/mcp-registry.ts,MOVE,packages/runtime/src/mcp-registry.ts,MCP server registry
orchestration/memory-store.ts,MOVE,packages/runtime/src/memory-store.ts,Runtime memory (JSONL)
orchestration/observability-manager.ts,MOVE,packages/telemetry/src/observability-manager.ts,OTel/Prometheus manager
orchestration/path-boundary.ts,MOVE,packages/runtime/src/path-boundary.ts,Filesystem path safety
orchestration/persistence-manager.ts,MOVE,packages/runtime/src/persistence-manager.ts,State persistence manager
